StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2,Q4,Q5,Q16_1,Q16_2,Q16_3,Q16_4,Treatment_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"The purpose of this survey is to get a better understanding of dining hall preferences. Your participation is anonymous and voluntary, and no identifying information will be collected. Responses for this survey will not be shared outside of an academic environment. You participating is appreciated. If you consent to taking this survey please click ""I consent"" in the field below. Once you click to continue, please respond to each prompt to the best of your abilities.",What is your dietary restriction?,What is your class year? ex. 2024 or 2024J,What is your gender identity?,What Smith neighborhood do you live in?,"Based on this situation, how likely are you to agree with the following statements? - I would sit down and eat at this dining hall","Based on this situation, how likely are you to agree with the following statements? - I would go find a new dining hall to have dinner at","Based on this situation, how likely are you to agree with the following statements? - I would take the food to go","Based on this situation, how likely are you to agree with the following statements? - I would enjoy eating at this dining hall",Treatment - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""BL_80SquafwHABtXfg_DO""}"
2023-04-15 18:26:55,2023-04-15 18:29:21,Survey Preview,,100,146,True,2023-04-15 18:29:22,R_1o1KH1owVSs2KY1,,,,,42.3182,-72.6419,preview,EN,I consent,No restrictions,,Non-binary / third gender,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,
2023-04-18 22:57:54,2023-04-18 22:58:34,IP Address,131.229.147.165,100,39,True,2023-04-18 22:58:34,R_1HAhsFTHYG8HXxL,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2023,Female,"Garden (Comstock, Haven/Wesley, Gardiner, Morrow, Sessions, Wilder, Wilson)",Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Q12
2023-04-19 22:24:35,2023-04-19 22:25:33,IP Address,131.229.192.28,100,57,True,2023-04-19 22:25:33,R_33sDhzxnS5dgKNP,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2024,Female,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Q12
2023-04-20 09:15:58,2023-04-20 09:16:45,IP Address,131.229.239.109,100,47,True,2023-04-20 09:16:46,R_1jNRnc9QZOXECq4,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2024,Non-binary / third gender,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Q11
2023-04-20 09:18:17,2023-04-20 09:19:00,IP Address,131.229.234.129,100,42,True,2023-04-20 09:19:02,R_2XpKSSxvKF5Qa4Z,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2024,Female,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Disagree,Agree,Agree,Disagree,Q7
2023-04-20 09:20:06,2023-04-20 09:21:08,IP Address,131.229.235.53,100,62,True,2023-04-20 09:21:08,R_2dtMgL619UJKPlB,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2024,Female,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Agree,Somewhat disagree,Disagree,Agree,Q12
2023-04-20 09:28:47,2023-04-20 09:29:26,IP Address,131.229.41.66,100,38,True,2023-04-20 09:29:26,R_BK6HSB5dzU1W6c1,,,,,42.3182,-72.6419,anonymous,EN,I consent,Other,2024,Female,"Ivy (Albright, Baldwin, Chapin, Duckett, Hubbard, Lawrence, Morris, Tyler, Washburn)",Somewhat agree,Agree,Disagree,Strongly agree,Q11
2023-04-20 09:37:50,2023-04-20 09:38:18,IP Address,131.229.47.134,100,28,True,2023-04-20 09:38:19,R_3qjU1TtvzZcehDl,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2025,Non-binary / third gender,"Mountain (Capen, Cutter, Gillett, Lamont, Northrop, Talbot, Ziskind)",Somewhat agree,Disagree,Agree,Somewhat agree,Q12
2023-04-20 09:37:48,2023-04-20 09:38:52,IP Address,131.229.115.165,100,64,True,2023-04-20 09:38:53,R_2WG9gsB8A1JB2l5,,,,,42.3182,-72.6419,anonymous,EN,I consent,No restrictions,2023,Female,"Mountain (Capen, Cutter, Gillett, Lamont, Northrop, Talbot, Ziskind)",Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Q10
